No	cpnt_inchi_1	cpnt_inchi_2	cpnt_inchi_3	cpnt_inchi_4	cpnt_inchi_5	cpnt_inchi_6	cpnt_inchi_7	cpnt_inchi_8	cpnt_inchi_9	cpnt_inchi_10	cpnt_vol_1	cpnt_vol_2	cpnt_vol_3	cpnt_vol_4	cpnt_vol_5	cpnt_vol_6	cpnt_vol_7	cpnt_vol_8	cpnt_vol_9	cpnt_vol_10	CN
4	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3									7.960000E-01	2.040000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	6.214000E+01
5	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3									5.920000E-01	4.080000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.414000E+01
6	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3									1.960000E-01	8.040000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.858000E+01
7	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3									3.980000E-01	6.020000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.418000E+01
8	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3									8.070000E-01	1.930000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	6.121000E+01
9	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3									6.030000E-01	3.970000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.508000E+01
10	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3									4.000000E-01	6.000000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.693000E+01
11	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3									2.010000E-01	7.990000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.659000E+01
12	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3								2.610000E-01	2.600000E-01	4.790000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.693000E+01
13	InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3								3.490000E-01	3.540000E-01	2.980000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.327000E+01
