feature,importance
mix_H,0.3372430489886166
mix_CH_ratio,0.10881877838078984
mix_string_len,0.10713207512726826
mix_OC_ratio,0.06997237022081836
comp_1_C,0.04447802065089852
mix_num_heavy_atoms,0.03993567924486984
mix_max_volume,0.03500268003247777
comp_1_H,0.032833458268816236
mix_C,0.02950181297163334
mix_formula_len,0.029456642308517782
mix_min_nonzero_volume,0.020512404689982295
mix_volume_entropy,0.020395409066076058
mix_O,0.019030656203548234
mix_num_heteroatoms,0.01642420206404586
comp_2_H,0.014561354291884473
comp_2_C,0.014443468003566448
comp_1_O,0.011374258184815276
comp_1_num_heteroatoms,0.011171915978033594
comp_2_num_heteroatoms,0.009876441555363784
comp_2_O,0.009443214462472014
comp_3_H,0.003462878579510137
mix_nonzero_components,0.003369805672124319
comp_3_O,0.0023211293116627988
comp_3_num_heteroatoms,0.002244835470877048
comp_3_C,0.0019337946589313064
mix_has_stereo,0.0017495162572136156
comp_4_H,0.0007949663658607963
comp_4_C,0.0007119698825954198
mix_total_volume,0.0005774082128385082
comp_5_C,0.0002085416921551242
comp_5_H,0.00015831991444858963
comp_6_C,0.00012376751786563145
comp_6_H,0.00011967147819386124
comp_8_C,0.00011070565710827128
comp_8_num_heteroatoms,8.381056321379416e-05
comp_8_H,7.979472397731995e-05
comp_8_O,6.30263311057588e-05
comp_7_H,5.911666148471585e-05
comp_4_num_heteroatoms,5.67565320869807e-05
comp_5_O,3.0049333943383952e-05
comp_4_O,2.870604548764928e-05
comp_7_C,2.6392361549861658e-05
comp_6_O,2.010322120791633e-05
comp_5_num_heteroatoms,1.6617140085823892e-05
comp_6_num_heteroatoms,1.34668602374826e-05
comp_9_num_heteroatoms,7.387230140540931e-06
comp_9_C,5.9692496271693025e-06
comp_10_C,3.840917772271173e-06
comp_7_num_heteroatoms,3.354040432692561e-06
comp_7_O,2.6058271924491583e-06
comp_10_H,1.6207637909592756e-06
comp_10_num_heteroatoms,9.593504804753443e-07
comp_9_O,7.26423466003059e-07
comp_9_H,3.8805278948134436e-07
comp_10_O,1.0700404733001778e-07
comp_4_S,0.0
comp_9_N,0.0
comp_8_N,0.0
comp_8_S,0.0
mix_N,0.0
mix_has_reconnected,0.0
comp_9_S,0.0
mix_P,0.0
mix_has_isotope,0.0
mix_has_charge,0.0
mix_has_inchi,0.0
comp_10_N,0.0
comp_10_S,0.0
mix_S,0.0
mix_F,0.0
comp_4_N,0.0
comp_6_N,0.0
comp_5_N,0.0
comp_5_S,0.0
comp_3_N,0.0
comp_2_S,0.0
comp_2_N,0.0
comp_1_S,0.0
comp_6_S,0.0
mix_Cl,0.0
comp_1_N,0.0
mix_other,0.0
mix_I,0.0
mix_Br,0.0
comp_7_N,0.0
comp_7_S,0.0
comp_3_S,0.0
