keroml_id,mixture_id,mixture_name,cetane_number_val,cn_mc_p10,cn_mc_p50,cn_mc_p90,cn_mc_iqr80
KERO_TRDS_A0_000055,CHTA_MXTR_A0_00300,POSF 10264 (JP-8),48.8,49.75056010596196,51.53416967473353,53.51820844222109,3.7676483362591284
KERO_TRDS_A0_000056,CHTA_MXTR_A0_00301,POSF 10325 (Jet A),48.3,46.65030647093848,49.10832720262536,51.09884423802033,4.448537767081845
KERO_TRDS_A0_000057,CHTA_MXTR_A0_00302,POSF 10289 (JP-5),39.2,42.832547650895734,45.450263387957975,47.73606234437044,4.903514693474705
KERO_TRDS_A0_000061,CHTA_MXTR_A0_00307,POSF 12223 (),50.4,44.43320766022334,47.79685509555058,52.170909844536396,7.737702184313058
KERO_TRDS_A0_000064,CHTA_MXTR_A0_00475,POSF 12345,39.6,43.36788146079395,47.020809686064226,50.5743954213203,7.206513960526344
KERO_TRDS_A0_000066,CHTA_MXTR_A0_00477,POSF 12341,47.0,44.309501662822555,46.70833625436942,49.86639979339205,5.556898130569493
KERO_TRDS_A0_000067,CHTA_MXTR_A0_00478,POSF 12925,42.6,40.559003170692584,43.29189523915211,45.94368786215246,5.384684691459874
KERO_TRDS_A0_000068,CHTA_MXTR_A0_00479,POSF 12923,43.5,43.974644231936445,46.3182186314604,48.61116326588953,4.6365190339530855
KERO_TRDS_A0_000069,CHTA_MXTR_A0_00480,POSF 12933,63.3,50.59993456721723,52.60943418484646,54.73988050676349,4.139945939546259
KERO_TRDS_A0_000070,CHTA_MXTR_A0_00481,POSF 7504,15.1,20.3212439294682,24.456101789613665,28.569204892119565,8.247960962651366
KERO_TRDS_A0_000074,CHTA_MXTR_A0_00485,POSF 4658,47.1,45.516151737173246,47.68321962148603,49.71617331283567,4.200021575662426
KERO_TRDS_A0_000075,CHTA_MXTR_A0_00486,POSF 5699,49.3,47.22788434092529,49.50293535041766,51.65847228121081,4.43058794028552
KERO_TRDS_A0_000076,CHTA_MXTR_A0_00487,POSF 6169 (JP-8),47.3,46.6512124782631,48.69162602963415,51.02843416064185,4.377221682378753
KERO_TRDS_A0_000077,CHTA_MXTR_A0_00488,POSF 4751,45.9,45.899983411554715,48.23491888186017,50.72573115867494,4.825747747120225
KERO_TRDS_A0_000085,CHTA_MXTR_A0_00314,POSF 11714 (SPK-HEFA),59.77,52.15447023064282,54.627760150999706,56.89534994492161,4.74087971427879
KERO_TRDS_A0_000086,CHTA_MXTR_A0_00315,POSF 7629 (SPK-FT),31.3,35.53544108001393,39.17184314139459,42.23426590545685,6.6988248254429195
KERO_TRDS_A0_000094,CHTA_MXTR_A0_00325,POSF 5171 (FT/JP-8 blend),51.7,48.28591314520069,50.38288585241186,52.7841380467532,4.498224901552511
KERO_TRDS_A0_000095,CHTA_MXTR_A0_00326,POSF 5172 (FT),59.1,48.76541377976846,51.34264771810301,54.2649414525209,5.499527672752443
KERO_TRDS_A0_000097,CHTA_MXTR_A0_00190,POSF 5642 (FT),31.28,33.04737617496461,35.6673276360525,38.57412886054673,5.526752685582117
KERO_TRDS_A0_000099,CHTA_MXTR_A0_00193,POSF 6308 (HRJ Tallow),58.1,45.30416454184142,47.72065990434733,49.883855788134085,4.579691246292661
KERO_TRDS_A0_000101,CHTA_MXTR_A0_00330,POSF 7695 (ATJ),15.1,20.856784887307814,27.578216232940115,35.25985836599391,14.403073478686093
KERO_TRDS_A0_000102,CHTA_MXTR_A0_00331,POSF 7720 (HEFA),58.9,52.623709749420634,54.813108815213724,57.07304815091334,4.449338401492703
KERO_TRDS_A0_000125,CHTA_MXTR_A0_00469,POSF 10301 (HRJ-8),53.9,52.06824567620248,54.27590425701817,56.752404984565175,4.684159308362695
KERO_TRDS_A0_000130,CHTA_MXTR_A0_00373,POSF 3327 (JP-7),52.5,46.83571554601823,50.06749525556156,53.27714081597386,6.44142526995563
KERO_TRDS_A0_000156,CHTA_MXTR_A0_00386,POSF 13718 (ATJ),17.1,19.64065956198756,24.730764736978376,29.146029104805752,9.50536954281819
KERO_TRDS_A0_000160,CHTA_MXTR_A0_00390,POSF 6152 (HEFA-C),53.94,47.33950254183112,49.687130941186965,52.14739019686828,4.807887655037156
KERO_TRDS_A0_000161,CHTA_MXTR_A0_00391,POSF 5469 (HEFA-F),66.27,50.47378961431565,52.358813202934684,54.65145234958562,4.177662735269969
KERO_TRDS_A0_000166,CHTA_MXTR_A0_00396,POSF 4734 (SPK),58.7,52.735132343695845,54.69631503483039,56.80962379169772,4.074491448001872
KERO_TRDS_A0_000168,CHTA_MXTR_A0_00398,POSF 7635 (Mixed fats),59.0,55.63850503584123,57.616716085344684,59.60476210072066,3.9662570648794357
KERO_TRDS_A0_000222,CHTA_MXTR_A0_00491,F-24,46.41,48.88181456002729,51.01009448254868,52.696575378597174,3.814760818569887
KERO_TRDS_A0_000230,CHTA_MXTR_A0_00457,POSF 5109 (FT),61.58,52.927572031756064,54.93629188191527,57.08645803817238,4.158886006416317
KERO_TRDS_A0_000240,CHTA_MXTR_A0_00493,Specialty jet fuel CN30,35.1,38.984828223447344,42.34148349342232,46.04561808512886,7.0607898616815135
KERO_TRDS_A0_000241,CHTA_MXTR_A0_00494,Specialty jet fuel CN35,41.2,43.15385347530367,46.410371023103586,49.562823927636366,6.408970452332696
KERO_TRDS_A0_000242,CHTA_MXTR_A0_00495,Specialty jet fuel CN40,44.1,41.37347798311781,44.4716693178968,47.04336613860897,5.669888155491158
KERO_TRDS_A0_000243,CHTA_MXTR_A0_00496,Specialty jet fuel CN45,49.5,43.02228408539792,45.43496006959009,48.16373423181561,5.141450146417689
KERO_TRDS_A0_000244,CHTA_MXTR_A0_00497,Specialty jet fuel CN50,49.8,46.97392666262592,49.59667467750444,52.175300820061516,5.201374157435595
KERO_TRDS_A0_000245,CHTA_MXTR_A0_00498,Specialty jet fuel CN55,62.5,43.28804807381484,45.80553571105936,48.66283634957734,5.374788275762498
KERO_TRDS_A0_000276,CHTA_MXTR_A0_00529,POSF 13690 (CPK-0),37.2,37.37392515388916,41.31293469976201,45.432444645979764,8.058519492090603
KERO_TRDS_A0_001650,CHTA_MXTR_A0_01812,CRC WJFS 2025 Sample 01 (Jet A-1),40.9,46.08755992230259,48.18854606331743,50.68923368777534,4.6016737654727535
