,antagonistic_oxygenates,2R-aromatics,2R-cycloparaffins,dienes,indenes,iso-paraffins,1R-aromatics,1R-cycloparaffins,cycloaromatics,n-paraffins,olefins,synergistic_oxygenates,3R-cycloparaffins
C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.351460116421201e-06,0.0
C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.929866944067033e-08,0.0,0.026018288061740037,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005227381370928946,1.570190627149149e-05,1.6867100726305135e-06,0.0
C4,0.0,0.0,0.0,2.1813909763680525e-07,0.0,0.00195605539229574,0.0,0.0,0.0,0.011005959904852381,0.0,0.0,0.0
C5,0.0,0.0,0.0,2.328542815426831e-05,0.0,0.022749110521185174,0.0,0.01020203983019208,0.0,0.01739193520592344,0.0,0.0,0.0
C6,0.0,0.0,0.0,6.489693087568807e-06,0.0,0.016077495846809,0.0006155762697747816,0.0012418394057214322,0.0,0.009647782871285038,0.010069213965169988,0.0,0.0
C7,0.0,0.0,0.0,5.953796049621218e-05,0.0,0.029973393181497703,0.008396468702753875,0.011039892320347088,0.0,0.01261511146834579,0.0016455075037497444,0.0,0.0
C8,0.0,0.0,0.001007615583345836,5.710710596807269e-06,0.0,0.09565557270846349,0.02584715908260987,0.020832839124888442,0.0,0.014899172140532364,0.00040542121088393173,0.0,0.0
C9,0.0,0.0,0.013217707303694254,0.0,0.0,0.010312169978276577,0.0636772420749792,0.02567873613126841,0.0017922875179920226,0.030947996913678794,0.00038040123737271246,0.0,0.0
C10,0.0,0.003976605356172674,0.018560877834009164,0.0,0.0,0.03550400114571579,0.05120716769483712,0.06338854819097205,0.007753937134717145,0.056656851243349605,0.00056069438794895,0.0,0.00031182942423027023
C11,0.0,0.007429298363439966,0.020326665988392334,0.0,0.0,0.0,0.02976276492577422,0.04647069159538735,0.007672840864424148,0.048644461176304415,0.00011665943962627414,0.0,0.001023114292719239
C12,0.0,0.0004647476564024869,0.012364558391336412,0.0,0.0,0.0,0.011655686860792012,0.024260133797242667,0.004251772852030821,0.03243158483239255,0.0,0.0,0.0014797234068761355
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.001653941506312739,0.0037634326978081395,0.0,0.0123646470464807,0.0,0.0,0.0
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91020060435581e-10,0.0,0.0
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
