#=======================================================================================================================
# InTensors - KeroML - Theoretical branching index limits
#=======================================================================================================================
#
# Author           : Nimal Naser (n2[ⓐⓣ]intensors.com)
# Company          : InTensors
# Version          : 3.3.0
# Created on       : 26 April 2026
# Last modified on : 26 June 2026
#
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
#
#
#-----------------------------------------------------------------------------------------------------------------------
# Changelog
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
# Information
#-----------------------------------------------------------------------------------------------------------------------
#
#
#-----------------------------------------------------------------------------------------------------------------------
# Data
#-----------------------------------------------------------------------------------------------------------------------
theoretical_brix_id	nor_par_carbon_number	nor_par_brix_min	nor_par_brix_max	iso_par_carbon_number	iso_par_brix_min	iso_par_brix_max	mon_nap_carbon_number	mon_nap_brix_min	mon_nap_brix_max	di_nap_carbon_number	di_nap_brix_min	di_nap_brix_max	tri_nap_carbon_number	tri_nap_brix_min	tri_nap_brix_max	mon_aro_carbon_number	mon_aro_brix_min	mon_aro_brix_max	di_aro_carbon_number	di_aro_brix_min	di_aro_brix_max	nap_aro_carbon_number	nap_aro_brix_min	nap_aro_brix_max	olef_carbon_number	olef_brix_min	olef_brix_max	oxy_carbon_number	oxy_brix_min	oxy_brix_max	inde_carbon_number	inde_brix_min	inde_brix_max	dien_carbon_number	dien_brix_min	dien_brix_max	theoretical_brix_distribution_tier
CHTA_THBR_A0_000000	5	0.000000E+00	0.000000E+00	5	2.500000E-01	6.700000E-01	5	nan	nan	5	nan	nan	5	nan	nan	5	nan	nan	5	nan	nan	5	nan	nan	5	2.500000E-01	6.700000E-01	5	2.500000E-01	6.700000E-01	5	nan	nan	5	2.500000E-01	6.700000E-01	internal only
CHTA_THBR_A0_000001	6	0.000000E+00	0.000000E+00	6	2.000000E-01	5.000000E-01	6	5.000000E-01	5.000000E-01	6	nan	nan	6	nan	nan	6	1.000000E+00	1.000000E+00	6	nan	nan	6	nan	nan	6	2.000000E-01	5.000000E-01	6	2.000000E-01	5.000000E-01	6	nan	nan	6	2.000000E-01	5.000000E-01	internal only
CHTA_THBR_A0_000002	7	0.000000E+00	0.000000E+00	7	1.700000E-01	7.500000E-01	7	5.000000E-01	5.000000E-01	7	nan	nan	7	nan	nan	7	1.000000E+00	1.000000E+00	7	nan	nan	7	nan	nan	7	1.700000E-01	7.500000E-01	7	1.700000E-01	7.500000E-01	7	nan	nan	7	1.700000E-01	7.500000E-01	internal only
CHTA_THBR_A0_000003	8	0.000000E+00	0.000000E+00	8	1.400000E-01	1.000000E+00	8	5.000000E-01	6.700000E-01	8	nan	nan	8	nan	nan	8	1.000000E+00	1.170000E+00	8	nan	nan	8	nan	nan	8	1.400000E-01	1.000000E+00	8	1.400000E-01	1.000000E+00	8	nan	nan	8	1.400000E-01	1.000000E+00	internal only
CHTA_THBR_A0_000004	9	0.000000E+00	0.000000E+00	9	1.300000E-01	1.000000E+00	9	5.000000E-01	1.170000E+00	9	nan	nan	9	nan	nan	9	1.000000E+00	1.670000E+00	9	nan	nan	9	1.500000E+00	1.500000E+00	9	1.300000E-01	1.000000E+00	9	1.300000E-01	1.000000E+00	9	1.500000E+00	1.500000E+00	9	1.300000E-01	1.000000E+00	internal only
CHTA_THBR_A0_000005	10	0.000000E+00	0.000000E+00	10	1.100000E-01	1.200000E+00	10	5.000000E-01	1.330000E+00	10	1.000000E+00	1.000000E+00	10	2.000000E+00	2.000000E+00	10	1.000000E+00	1.830000E+00	10	2.000000E+00	2.000000E+00	10	1.500000E+00	1.500000E+00	10	1.100000E-01	1.200000E+00	10	1.100000E-01	1.200000E+00	10	1.500000E+00	1.500000E+00	10	1.100000E-01	1.200000E+00	internal only
CHTA_THBR_A0_000006	11	0.000000E+00	0.000000E+00	11	1.000000E-01	1.400000E+00	11	5.000000E-01	1.500000E+00	11	1.000000E+00	1.000000E+00	11	2.000000E+00	2.000000E+00	11	1.000000E+00	2.000000E+00	11	2.000000E+00	2.000000E+00	11	1.500000E+00	1.500000E+00	11	1.000000E-01	1.400000E+00	11	1.000000E-01	1.400000E+00	11	1.500000E+00	1.500000E+00	11	1.000000E-01	1.400000E+00	internal only
CHTA_THBR_A0_000007	12	0.000000E+00	0.000000E+00	12	9.000000E-02	1.600000E+00	12	5.000000E-01	1.830000E+00	12	1.000000E+00	1.000000E+00	12	2.000000E+00	2.330000E+00	12	1.000000E+00	2.330000E+00	12	2.000000E+00	2.000000E+00	12	1.500000E+00	1.500000E+00	12	9.000000E-02	1.600000E+00	12	9.000000E-02	1.600000E+00	12	1.500000E+00	1.500000E+00	12	9.000000E-02	1.600000E+00	internal only
CHTA_THBR_A0_000008	13	0.000000E+00	0.000000E+00	13	8.000000E-02	1.800000E+00	13	5.000000E-01	1.500000E+00	13	1.000000E+00	1.330000E+00	13	2.000000E+00	2.670000E+00	13	1.000000E+00	2.000000E+00	13	2.000000E+00	2.330000E+00	13	1.500000E+00	1.500000E+00	13	8.000000E-02	1.800000E+00	13	8.000000E-02	1.800000E+00	13	1.500000E+00	1.500000E+00	13	8.000000E-02	1.800000E+00	internal only
CHTA_THBR_A0_000009	14	0.000000E+00	0.000000E+00	14	8.000000E-02	2.000000E+00	14	0.000000E+00	1.750000E+00	14	1.000000E+00	1.670000E+00	14	2.000000E+00	2.500000E+00	14	0.000000E+00	2.250000E+00	14	2.000000E+00	2.250000E+00	14	1.500000E+00	1.500000E+00	14	8.000000E-02	2.000000E+00	14	8.000000E-02	2.000000E+00	14	1.500000E+00	1.500000E+00	14	8.000000E-02	2.000000E+00	internal only
