#=======================================================================================================================
# InTensors - SIDT NTC temperature bounds (CVWSR-style)
#=======================================================================================================================
#
# Author           : Nimal Naser (n2[ⓐⓣ]intensors.com)
# Company          : InTensors
# Version          : 1.0.0
# Created on       : 22 July 2026
# Last modified on : 22 July 2026
#
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
# Information
#-----------------------------------------------------------------------------------------------------------------------
# Mixture           : methane
# Mixture ID        : CHTA_MXTR_A0_014782
# Source: ZeroRK cvwsr_ntc_bounds_selfies.dat
#   (one row per Arrhenius curve at fixed P, φ, EGR).
# ntc_t_min_K / ntc_t_max_K : detected NTC pocket [K]; NaN if has_ntc=0
# has_ntc                   : 1 if NTC pocket found on the curve
# idt_delta_K               : IDT ΔT channel used for detection
# Unused cpnt_selfies_* slots are NaN; unused cpnt_vol_* are 0.
# Source file SHA-256:
# sha256:ef75c20d48908475a5908d9dad66cdf433efc6203e67d2e2e3ed8351ec8da9c3  /home/nimalnaser/Downloads/ZeroRK/dataset_runs/database/maffei2025modeling/CH4/cvwsr_ntc_bounds_selfies.dat
# Source commits:
# git:68fc307e41cafb06519d5066cb2199a24ed7f110  cvwsr_ntc_bounds_selfies.dat
#
#-----------------------------------------------------------------------------------------------------------------------
# Data
#-----------------------------------------------------------------------------------------------------------------------
sidt_ntc_id	mixture_id	mixture_name	model_name	mixture_type	cpnt_selfies_1	cpnt_selfies_2	cpnt_selfies_3	cpnt_selfies_4	cpnt_selfies_5	cpnt_selfies_6	cpnt_selfies_7	cpnt_selfies_8	cpnt_selfies_9	cpnt_selfies_10	cpnt_vol_1	cpnt_vol_2	cpnt_vol_3	cpnt_vol_4	cpnt_vol_5	cpnt_vol_6	cpnt_vol_7	cpnt_vol_8	cpnt_vol_9	cpnt_vol_10	pressure_bar	phi	egr_fraction	ntc_t_min_K	ntc_t_max_K	has_ntc	idt_delta_K	sidt_sim_date
CHTA_SIDT_NTC_A0_000000	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	5.000000E-01	0.000000E+00	9.800000E+02	1.050000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000001	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	5.000000E-01	5.000000E-02	9.800000E+02	1.050000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000002	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	5.000000E-01	1.000000E-01	9.800000E+02	1.045000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000003	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	5.000000E-01	1.500000E-01	9.800000E+02	1.045000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000004	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	5.000000E-01	2.000000E-01	9.750000E+02	1.045000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000005	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	5.000000E-01	2.500000E-01	9.750000E+02	1.045000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000006	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	5.000000E-01	3.000000E-01	9.750000E+02	1.045000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000007	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.500000E-01	0.000000E+00	9.650000E+02	1.035000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000008	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.500000E-01	5.000000E-02	9.600000E+02	1.035000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000009	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.500000E-01	1.000000E-01	9.600000E+02	1.030000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000010	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.500000E-01	1.500000E-01	9.600000E+02	1.030000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000011	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.500000E-01	2.000000E-01	9.550000E+02	1.030000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
CHTA_SIDT_NTC_A0_000012	CHTA_MXTR_A0_014782	methane	maffei2025modeling	pure component	[C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.500000E-01	2.500000E-01	9.550000E+02	1.025000E+03	1	4.000000E+02	2026-07-23T03:37:45Z
